round_number,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent
1,1,2,1,1,200,TRUE,100,80,20,0.2,0,0.8,TRUE
2,1,2,1,1,200,TRUE,100,80,20,0.2,0,0.8,TRUE
3,1,2,1,1,200,TRUE,100,80,20,0.2,0,0.8,TRUE
4,1,2,1,1,200,TRUE,100,-80,-20,0.2,0,0.8,TRUE
5,1,2,1,1,200,TRUE,100,-80,-20,0.2,0,0.8,TRUE
6,1,2,1,1,200,TRUE,100,-80,-20,0.2,0,0.8,TRUE
7,1,2,1,1,200,FALSE,100,80,20,0.2,0,0.8,TRUE
8,1,2,1,1,200,FALSE,100,80,20,0.2,0,0.8,TRUE
9,1,2,1,1,200,FALSE,100,80,20,0.2,0,0.8,TRUE
10,1,2,1,1,200,FALSE,100,80,20,0.2,0,0.8,TRUE
11,1,2,1,1,200,FALSE,100,-70,-30,0.3,0,0.7,TRUE
12,1,2,1,1,200,FALSE,100,-70,-30,0.3,0,0.7,TRUE
13,1,2,1,1,200,FALSE,100,-70,-30,0.3,0,0.7,TRUE
14,1,2,1,1,200,FALSE,100,-70,-30,0.3,0,0.7,TRUE
15,1,2,1,1,200,FALSE,100,-90,-10,0.1,0,0.9,TRUE
16,1,2,1,1,200,FALSE,100,-90,-10,0.1,0,0.9,TRUE
17,1,2,1,1,200,FALSE,100,-90,-10,0.1,0,0.9,TRUE
18,1,2,1,1,200,FALSE,100,-90,-10,0.1,0,0.9,TRUE
19,1,2,1,1,200,FALSE,100,90,10,0.1,0,0.9,TRUE
20,1,2,1,1,200,FALSE,100,90,10,0.1,0,0.9,TRUE
21,1,2,1,1,200,FALSE,100,90,10,0.1,0,0.9,TRUE
22,1,2,1,1,200,FALSE,100,90,10,0.1,0,0.9,TRUE
23,1,2,1,1,200,FALSE,100,70,30,0.3,0,0.7,TRUE
24,1,2,1,1,200,FALSE,100,70,30,0.3,0,0.7,TRUE
25,1,2,1,1,200,FALSE,100,70,30,0.3,0,0.7,TRUE
26,1,2,1,1,200,FALSE,100,70,30,0.3,0,0.7,TRUE
27,1,2,1,1,200,FALSE,100,-80,-20,0.2,0,0.8,TRUE
28,1,2,1,1,200,FALSE,100,-80,-20,0.2,0,0.8,TRUE
29,1,2,1,1,200,FALSE,100,-80,-20,0.2,0,0.8,TRUE
30,1,2,1,1,200,FALSE,100,-80,-20,0.2,0,0.8,TRUE
