round_number,period_length,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent,salient_payoff
1,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,TRUE,100,80,20,0.2,0,0.8,TRUE,FALSE
2,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,TRUE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
3,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
4,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
5,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
6,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
7,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
8,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
9,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
10,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
11,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,-80,-20,0.2,0,0.8,TRUE,FALSE
12,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
13,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
14,150,1,2,2 2 2 2 2 2 2 2,0 0 0 0 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
