round_number,period_length,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent,salient_payoff
1,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,TRUE,100,80,20,0.2,0,0.8,FALSE,FALSE
2,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,TRUE,100,70,30,0.3,0,0.7,FALSE,FALSE
3,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,TRUE,100,90,10,0.1,0,0.9,FALSE,FALSE
4,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,80,20,0.2,0,0.8,FALSE,FALSE
5,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,80,20,0.2,0,0.8,FALSE,FALSE
6,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,FALSE,FALSE
7,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,FALSE,FALSE
8,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,90,10,0.1,0,0.9,FALSE,FALSE
9,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,90,10,0.1,0,0.9,FALSE,FALSE
10,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,90,10,0.1,0,0.9,FALSE,FALSE
11,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,90,10,0.1,0,0.9,FALSE,FALSE
12,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,70,30,0.3,0,0.7,FALSE,FALSE
13,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,70,30,0.3,0,0.7,FALSE,FALSE
14,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,FALSE,FALSE
15,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,FALSE,FALSE
