round_number,period_length,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent,salient_payoff
1,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,TRUE,100,80,20,0.2,0,0.8,TRUE,FALSE
2,180,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,TRUE,100,70,30,0.3,0,0.7,TRUE,FALSE
3,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
4,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
5,180,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
6,180,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
7,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
8,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
9,180,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
10,180,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
11,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
12,180,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
