round_number,period_length,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent,salient_payoff
1,100,2,2,1 1,1 1,300,TRUE,100,70,30,0.3,0,0.7,TRUE,FALSE
2,100,2,2,1 1,1 1,300,TRUE,100,80,20,0.2,0,0.8,TRUE,FALSE
3,100,2,2,1 1,1 1,300,TRUE,100,90,10,0.1,0,0.9,TRUE,FALSE
4,100,2,2,1 1,1 1,300,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
5,100,2,2,1 1,1 1,300,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
6,100,2,2,1 1,1 1,300,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
7,100,2,2,1 1,1 1,300,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
8,100,2,2,1 1,1 1,300,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE
9,100,2,2,1 1,1 1,300,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE
10,100,2,2,1 1,1 1,300,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE
11,100,2,2,1 1,1 1,300,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE
12,100,2,2,1 1,1 1,300,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
13,100,2,2,1 1,1 1,300,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
14,100,2,2,1 1,1 1,300,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
15,100,2,2,1 1,1 1,300,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
16,100,2,2,1 1,1 1,300,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
17,100,2,2,1 1,1 1,300,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE
18,100,2,2,1 1,1 1,300,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
19,100,2,2,1 1,1 1,300,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE
20,100,2,2,1 1,1 1,300,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE
21,100,2,2,1 1,1 1,300,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE
