round_number,period_length,num_assets,num_states,asseta_endowments,assetb_endowments,cash_endowment,practice,x,G,L,p1,p2,p3,state_independent,salient_payoff,market_format
1,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,TRUE,100,80,20,0.2,0,0.8,TRUE,FALSE,BDM
2,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,TRUE,100,80,20,0.2,0,0.8,TRUE,FALSE,A2S2
3,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,TRUE,100,70,30,0.3,0,0.7,TRUE,FALSE,BDM
4,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,TRUE,100,70,30,0.3,0,0.7,TRUE,FALSE,A2S2
5,150,2,2,2 0 2 0 2 0 2 0,0 2 0 2 0 2 0 2,400,TRUE,100,90,10,0.1,0,0.9,TRUE,FALSE,BDM
6,150,2,2,2 0 2 0 2 0 2 0,0 2 0 2 0 2 0 2,400,TRUE,100,90,10,0.1,0,0.9,TRUE,FALSE,A2S2
7,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE,BDM
8,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE,A2S2
9,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE,BDM
10,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE,A2S2
11,150,2,2,2 0 2 0 2 0 2 0,0 2 0 2 0 2 0 2,400,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE,BDM
12,150,2,2,2 0 2 0 2 0 2 0,0 2 0 2 0 2 0 2,400,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE,A2S2
13,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE,BDM
14,150,2,2,2 2 2 2 0 0 0 0,0 0 0 0 2 2 2 2,400,FALSE,100,90,10,0.1,0,0.9,TRUE,FALSE,A2S2
15,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE,BDM
16,150,2,2,0 0 0 0 2 2 2 2,2 2 2 2 0 0 0 0,400,FALSE,100,70,30,0.3,0,0.7,TRUE,FALSE,A2S2
17,150,2,2,2 0 2 0 2 0 2 0,0 2 0 2 0 2 0 2,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE,BDM
18,150,2,2,2 0 2 0 2 0 2 0,0 2 0 2 0 2 0 2,400,FALSE,100,80,20,0.2,0,0.8,TRUE,FALSE,A2S2
